account_number,name,item_code,category,quantity,unit price,net_price,date
296809,Carroll PLC,QN-82852,Belt,13,44.48,578.24,2014-09-27 07:13:03
098022,Heidenreich-Bosco,MJ-21460,Shoes,19,53.62,1018.78,2014-07-29 02:10:44
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,12,24.16,289.92,2014-03-01 10:51:24
093356,Waters-Walker,AS-93055,Shirt,5,82.68,413.40,2013-11-17 20:41:11
659366,Waelchi-Fahey,AS-93055,Shirt,18,99.64,1793.52,2014-01-03 08:14:27
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,52.82,897.94,2013-12-04 02:07:05
995267,Cole-Eichmann,GS-86623,Shoes,18,15.28,275.04,2014-04-09 16:15:03
524021,Hegmann and Sons,LL-46261,Shoes,7,78.78,551.46,2014-06-18 19:25:10
929400,"Senger, Upton and Breitenberg",LW-86841,Shoes,17,38.19,649.23,2014-02-10 05:55:56
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,12,26.98,323.76,2014-05-20 00:21:28
995267,Cole-Eichmann,KV-99194,Shirt,19,60.22,1144.18,2014-03-10 06:23:31
524021,Hegmann and Sons,QN-82852,Belt,6,13.12,78.72,2013-11-03 18:38:16
758133,"Kihn, McClure and Denesik",LL-46261,Shoes,4,59.69,238.76,2014-01-11 21:48:28
555594,"Ernser, Cruickshank and Lind",FK-71853,Shirt,12,97.25,1167.00,2014-09-19 13:20:00
201259,Koelpin PLC,GS-86623,Shoes,9,81.44,732.96,2014-08-12 08:05:27
093356,Waters-Walker,LL-46261,Shoes,18,53.33,959.94,2014-07-15 23:21:11
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,4,35.62,142.48,2014-10-05 23:38:16
201259,Koelpin PLC,KV-99194,Shirt,17,98.23,1669.91,2014-01-26 01:52:36
758133,"Kihn, McClure and Denesik",WJ-02096,Belt,15,69.52,1042.80,2013-11-13 21:38:46
296809,Carroll PLC,VG-32047,Shirt,12,80.12,961.44,2014-05-24 16:03:28
750461,"Volkman, Goyette and Lemke",WJ-02096,Belt,13,81.19,1055.47,2014-01-08 02:45:07
929400,"Senger, Upton and Breitenberg",LL-46261,Shoes,2,48.15,96.30,2014-04-28 07:01:04
563905,"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,1,54.94,54.94,2014-08-09 11:22:15
734922,Berge LLC,QN-82852,Belt,4,57.75,231.00,2013-11-04 09:48:26
296809,Carroll PLC,AS-93055,Shirt,14,47.68,667.52,2014-01-12 00:28:09
304860,Huel-Haag,QN-82852,Belt,2,41.40,82.80,2014-09-23 02:36:55
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,6,58.52,351.12,2014-03-14 02:28:57
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,12,96.62,1159.44,2013-12-13 03:19:19
850140,Kunze Inc,KV-99194,Shirt,12,93.67,1124.04,2014-02-19 06:03:09
115138,Gorczany-Hahn,VG-32047,Shirt,12,72.63,871.56,2014-02-07 03:30:14
711951,Kilback-Gerlach,AS-93055,Shirt,2,90.80,181.60,2014-03-26 20:56:14
676847,Hamill-Hackett,AS-93055,Shirt,6,42.96,257.76,2013-11-14 22:16:18
711951,Kilback-Gerlach,AS-93055,Shirt,1,71.50,71.50,2014-04-14 16:58:07
305803,"Davis, Kshlerin and Reilly",AS-93055,Shirt,1,74.43,74.43,2014-09-20 09:49:19
201259,Koelpin PLC,GS-86623,Shoes,8,35.38,283.04,2013-12-12 02:37:57
115138,Gorczany-Hahn,QN-82852,Belt,16,24.87,397.92,2014-02-20 07:42:49
296809,Carroll PLC,WJ-02096,Belt,14,15.33,214.62,2013-12-03 01:25:07
093356,Waters-Walker,AS-93055,Shirt,12,94.34,1132.08,2014-09-04 13:39:04
850140,Kunze Inc,MJ-21460,Shoes,18,12.78,230.04,2014-02-20 13:18:47
676847,Hamill-Hackett,LL-46261,Shoes,3,28.71,86.13,2014-01-02 12:49:41
115138,Gorczany-Hahn,VG-32047,Shirt,11,11.21,123.31,2013-12-10 20:13:01
