Score,Age,Subject,Sex,ID
88.0,18,Maths,1,1
85.0,19,Maths,1,2
45.0,19,Maths,1,3
82.0,18,Maths,1,4
82.0,18,Maths,2,5
95.0,20,Maths,1,6
95.0,18,Maths,1,7
65.0,19,Maths,1,8
88.0,18,Maths,1,9
88.0,19,Maths,2,10
53.0,20,Maths,1,11
53.0,20,Maths,1,12
66.0,19,Maths,1,13
88.0,18,Maths,1,14
88.0,21,Maths,2,15
82.0,20,Maths,1,16
31.0,18,Maths,1,17
95.0,18,Maths,1,18
91.0,18,Maths,1,19
66.0,18,Maths,2,20
82.0,18,Maths,1,21
66.0,18,Maths,1,22
75.0,18,Maths,1,23
65.0,19,Maths,1,24
91.0,20,Maths,2,25
91.0,18,Maths,1,26
53.0,20,Maths,1,27
91.0,20,Maths,1,28
88.0,21,Maths,1,29
85.0,19,Maths,2,30
75.0,20,Maths,1,31
66.0,21,Maths,1,32
45.0,19,Maths,1,33
66.0,18,Maths,1,34
53.0,20,Maths,2,35
65.0,19,Maths,1,36
53.0,18,Maths,1,37
75.0,20,Maths,1,38
45.0,18,Maths,1,39
66.0,19,Maths,2,40
75.0,20,Maths,1,41
95.0,20,Maths,1,42
65.0,21,Maths,1,43
85.0,18,Maths,1,44
82.0,20,Maths,2,45
65.0,21,Maths,1,46
85.0,21,Maths,1,47
82.0,18,Maths,1,48
65.0,18,Maths,1,49
66.0,19,Maths,2,50
82.0,18,Maths,1,51
88.0,19,Maths,1,52
0.0,19,Maths,1,53
95.0,20,Maths,1,54
88.0,21,Maths,2,55
91.0,18,Maths,1,56
53.0,20,Maths,1,57
75.0,20,Maths,1,58
75.0,20,Maths,1,59
95.0,18,Maths,2,60
88.0,19,Maths,1,61
53.0,18,Maths,1,62
82.0,20,Maths,1,63
82.0,18,Maths,1,64
85.0,21,Maths,2,65
45.0,21,Maths,1,66
75.0,20,Maths,1,67
66.0,21,Maths,1,68
45.0,19,Maths,1,69
75.0,20,Maths,2,70
53.0,20,Maths,1,71
65.0,21,Maths,1,72
53.0,20,Maths,1,73
85.0,19,Maths,1,74
82.0,18,Maths,2,75
95.0,20,Maths,1,76
66.0,19,Maths,1,77
53.0,20,Maths,1,78
65.0,18,Maths,1,79
85.0,19,Maths,2,80
88.0,19,Maths,1,81
95.0,18,Maths,1,82
53.0,20,Maths,1,83
45.0,19,Maths,1,84
45.0,21,Maths,2,85
85.0,18,Maths,1,86
45.0,19,Maths,1,87
85.0,21,Maths,1,88
45.0,18,Maths,1,89
45.0,21,Maths,2,90
85.0,19,Maths,1,91
88.0,19,Maths,1,92
85.0,19,Maths,1,93
91.0,18,Maths,1,94
65.0,19,Maths,2,95
75.0,18,Maths,1,96
88.0,19,Maths,1,97
95.0,18,Maths,1,98
65.0,21,Maths,1,99
65.0,19,Maths,2,100
45.0,18,Maths,1,101
53.0,20,Maths,1,102
95.0,18,Maths,1,103
66.0,21,Maths,1,104
82.0,18,Maths,2,105
65.0,19,Maths,1,106
45.0,21,Maths,1,107
85.0,21,Maths,1,108
45.0,19,Maths,1,109
85.0,21,Maths,2,110
65.0,21,Maths,1,111
85.0,18,Maths,1,112
88.0,19,Maths,1,113
45.0,19,Maths,1,114
95.0,20,Maths,2,115
88.0,21,Maths,1,116
75.0,18,Maths,1,117
53.0,20,Maths,1,118
