account_number,name,item_code,category,quantity,unit price,net_price,date
296809,Carroll PLC,QN-82852,Belt,13,44.48,578.24,27-09-2014 07:13
98022,Heidenreich-Bosco,MJ-21460,Shoes,19,53.62,1018.78,29-07-2014 02:10
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,12,24.16,289.92,01-03-2014 10:51
93356,Waters-Walker,AS-93055,Shirt,5,82.68,413.4,17-11-2013 20:41
659366,Waelchi-Fahey,AS-93055,Shirt,18,99.64,1793.52,03-01-2014 08:14
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,52.82,897.94,04-12-2013 02:07
995267,Cole-Eichmann,GS-86623,Shoes,18,15.28,275.04,09-04-2014 16:15
524021,Hegmann and Sons,LL-46261,Shoes,7,78.78,551.46,18-06-2014 19:25
929400,"Senger, Upton and Breitenberg",LW-86841,Shoes,17,38.19,649.23,10-02-2014 05:55
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,12,26.98,323.76,20-05-2014 00:21
995267,Cole-Eichmann,KV-99194,Shirt,19,60.22,1144.18,10-03-2014 06:23
524021,Hegmann and Sons,QN-82852,Belt,6,13.12,78.72,03-11-2013 18:38
758133,"Kihn, McClure and Denesik",LL-46261,Shoes,4,59.69,238.76,11-01-2014 21:48
555594,"Ernser, Cruickshank and Lind",FK-71853,Shirt,12,97.25,1167,19-09-2014 13:20
201259,Koelpin PLC,GS-86623,Shoes,9,81.44,732.96,12-08-2014 08:05
93356,Waters-Walker,LL-46261,Shoes,18,53.33,959.94,15-07-2014 23:21
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,4,35.62,142.48,05-10-2014 23:38
201259,Koelpin PLC,KV-99194,Shirt,17,98.23,1669.91,26-01-2014 01:52
758133,"Kihn, McClure and Denesik",WJ-02096,Belt,15,69.52,1042.8,13-11-2013 21:38
296809,Carroll PLC,VG-32047,Shirt,12,80.12,961.44,24-05-2014 16:03
750461,"Volkman, Goyette and Lemke",WJ-02096,Belt,13,81.19,1055.47,08-01-2014 02:45
929400,"Senger, Upton and Breitenberg",LL-46261,Shoes,2,48.15,96.3,28-04-2014 07:01
563905,"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,1,54.94,54.94,09-08-2014 11:22
734922,Berge LLC,QN-82852,Belt,4,57.75,231,04-11-2013 09:48
296809,Carroll PLC,AS-93055,Shirt,14,47.68,667.52,12-01-2014 00:28
