Country,LandArea,Population,GDP,Rural,Internet,BirthRate,DeathRate,ElderlyPop,LifeExpectancy,FemaleLabor,Unemployment
Afghanistan,652.86,30.552,665,74.1,5.9,34.1,7.8,2.3,60.9,16.2,
Albania,27.4,2.897,4460,44.6,60.1,12.9,6.9,10.7,77.5,51.7,13.4
Algeria,2381.74,39.208,5361,30.5,16.5,24.3,5.9,4.6,71,16.2,11
American Samoa,0.2,0.055,,12.7,,,,,,,
Andorra,0.47,0.079,,13.8,94,,,,,,
Angola,1246.7,21.472,5783,57.5,19.1,44.1,13.9,2.4,51.9,64.5,
Antigua and Barbuda,0.44,0.09,13342,75.4,63.4,16.5,6.1,7.1,75.8,,
Argentina,2736.69,41.446,14715,8.5,59.9,16.8,7.7,10.9,76.2,55.1,7.2
Armenia,28.47,2.977,3505,37,46.3,13.7,8.7,10.3,74.5,58.4,
Aruba,0.18,0.103,,57.9,78.9,10.3,8.4,11.3,75.3,,
Australia,7682.3,23.129,67463,10.8,83,13.2,6.3,14.3,82.2,70.5,5.2
Austria,82.409,8.48,50511,34.1,80.6,9.4,9.4,18.4,80.9,70.6,4.3
Azerbaijan,82.658,9.417,7812,45.9,58.7,18.3,5.8,5.6,70.7,68.1,5.2
"Bahamas, The",10.01,0.377,22312,17.3,72,15.3,6.1,7.7,75.1,76.4,14
Bahrain,0.76,1.332,24689,11.3,90,15.2,2.3,2.2,76.7,40.7,1.2
Bangladesh,130.17,156.595,958,67.2,6.5,20,5.7,4.8,70.7,60.4,
Barbados,0.43,0.285,,68.3,75,12.7,9.1,10.9,75.3,76.6,11.6
Belarus,202.91,9.466,7575,24.1,54.2,12.5,13.2,13.8,72.5,62.2,
Belgium,30.28,11.183,46930,2.2,82.2,11.2,9.8,18,80.4,62.1,7.5
Belize,22.81,0.332,4894,55.7,31.7,23.4,4.5,4,73.9,51.9,14.4
Benin,112.76,10.323,805,56.9,4.9,36.4,9.5,2.9,59.3,68.9,
Bermuda,0.05,0.065,,0,95.3,10.4,6.8,,80.6,,8.4
Bhutan,38.117,0.754,2363,62.9,29.9,19.6,6.5,4.8,68.3,69.1,2.1
Bolivia,1083.3,10.671,2868,32.3,39.5,25.7,7.1,4.9,67.2,66.2,
Bosnia and Herzegovina,51,3.829,4662,60.5,67.9,9,10.1,15.6,76.3,42,28.1
Botswana,566.73,2.021,7315,43.1,15,23.6,16.9,3.6,47.4,75,
Brazil,8358.14,200.362,11208,14.8,51.6,14.9,6.5,7.5,73.9,65,
Brunei Darussalam,5.27,0.418,38563,23.4,64.5,15.5,3.1,4.3,78.6,55.7,
Bulgaria,108.56,7.265,7499,26.7,53.1,9.2,14.4,19.3,74.5,63.7,12.3
Burkina Faso,273.6,16.935,761,71.8,4.4,40.9,11.1,2.4,56.3,79.5,
Burundi,25.68,10.163,267,88.5,1.3,44.7,12.8,2.4,54.1,84.4,
Cabo Verde,4.03,0.499,3767,35.9,37.5,20.1,5.1,5.3,74.9,55.7,
Cambodia,176.52,15.135,1007,79.7,6,25.7,6,5.4,71.7,82.1,0.2
Cameroon,472.71,22.254,1329,46.8,6.4,37.3,11.7,3.2,55,65.4,
Canada,9093.51,35.154,51964,18.5,85.8,10.9,7.2,15.2,81.4,74.5,7.2
Cayman Islands,0.24,0.058,,0,74.1,12.5,3.1,,,,
Central African Republic,622.98,4.616,333,60.5,3.5,34.2,14.9,3.8,50.1,73,
Chad,1259.2,12.825,1054,77.8,2.3,45.9,14.3,2.4,51.2,64.6,
Channel Islands,0.19,0.162,,68.7,,9.5,9.1,16.6,80.3,,
Chile,743.532,17.62,15732,10.8,66.5,13.9,5.5,10,79.8,55.3,6.4
China,9388.211,1357.38,6807,46.8,45.8,12.1,7.2,8.9,75.4,70.2,
Colombia,1109.5,48.321,7831,24.1,51.7,18.8,5.6,6.2,74,59.7,10.6
Comoros,1.861,0.735,815,71.9,6.5,35.2,8.8,2.8,60.9,35.9,
"Congo, Dem. Rep.",2267.05,67.514,484,58.5,2.2,42.7,15.4,2.9,49.9,71.5,
"Congo, Rep.",341.5,4.448,3167,35.5,6.6,37.6,10.2,3.4,58.8,69.9,
Costa Rica,51.06,4.872,10185,25,46,15.1,4.2,7,79.9,51,7.8
Cote d'Ivoire,318,20.316,1529,47.2,2.6,36.6,14.2,3.2,50.8,53.1,9.4
Croatia,55.96,4.256,13598,41.6,66.7,9.4,11.8,18.3,77.1,58.4,15.8
Cuba,106.44,11.266,,23.1,25.7,9.5,7.7,13.3,79.2,51.7,
Curacao,0.444,0.154,,10.5,,12.7,8.1,14,,,
