Month,#Passengers
2003-01,112
2003-02,118
2003-03,132
2003-04,129
2003-05,121
2003-06,135
2003-07,148
2003-08,148
2003-09,136
2003-10,119
2003-11,104
2003-12,118
2004-01,115
2004-02,126
2004-03,141
2004-04,135
2004-05,125
2004-06,149
2004-07,170
2004-08,170
2004-09,158
2004-10,133
2004-11,114
2004-12,140
2006-01,145
2006-02,150
2006-03,178
2006-04,163
2006-05,172
2006-06,178
2006-07,199
2006-08,199
2006-09,184
2006-10,162
2006-11,146
2006-12,166
2007-01,171
2007-02,180
2007-03,193
2007-04,181
2007-05,183
2007-06,218
2007-07,230
2007-08,242
2007-09,209
2007-10,191
2007-11,172
2007-12,194
2008-01,196
2008-02,196
2008-03,236
2008-04,235
2008-05,229
2008-06,243
2008-07,264
2008-08,272
2008-09,237
2008-10,211
2008-11,180
2008-12,201
2009-01,204
2009-02,188
2009-03,235
2009-04,227
2009-05,234
2009-06,264
2009-07,302
2009-08,293
2009-09,259
2009-10,229
2009-11,203
2009-12,229
2010-01,242
2010-02,233
2010-03,267
2010-04,269
2010-05,270
2010-06,315
2010-07,364
2010-08,347
2010-09,312
2010-10,274
2010-11,237
2010-12,278
2011-01,284
2011-02,277
2011-03,317
2011-04,313
2011-05,318
2011-06,374
2011-07,413
2011-08,405
2011-09,355
2011-10,306
2011-11,271
2011-12,306
2012-01,315
2012-02,301
2012-03,356
2012-04,348
2012-05,355
2012-06,422
2012-07,465
2012-08,467
2012-09,404
2012-10,347
2012-11,305
2012-12,336
2013-01,340
2013-02,318
2013-03,362
2013-04,348
2013-05,363
2013-06,435
2013-07,491
2013-08,505
2013-09,404
2013-10,359
2013-11,310
2013-12,337
2014-01,360
2014-02,342
2014-03,406
2014-04,396
2014-05,420
2014-06,472
2014-07,548
2014-08,559
2014-09,463
2014-10,407
2014-11,362
2014-12,405
2015-01,417
2015-02,391
2015-03,419
2015-04,461
2015-05,472
2015-06,535
2015-07,622
2015-08,606
2015-09,508
2015-10,461
2015-11,390
2015-12,432
