STATE/UT,YEAR,No. of Inmates benefitted by Elementary Education,No. of Inmates benefitted by Adult Education,No. of Inmates benefitted by Higher Education,No. of Inmates benefitted by Computer Course
Andhra Pradesh,2013,9480,13758,672,170
Arunachal Pradesh,2013,0,0,0,0
Assam,2013,676,750,14,30
Bihar,2013,1693,3013,125,1417
Chhatisgarh,2013,1664,1803,192,103
Goa,2013,7,0,6,88
Gujarat,2013,2310,3133,875,966
Haryana,2013,1131,774,1112,243
Himachal Pradesh,2013,33,80,26,0
Jammu & Kashmir,2013,102,124,33,34
Jharkhand,2013,3008,2595,138,574
Karnataka,2013,633,568,170,12
Kerala,2013,156,96,24,250
Madhya Pradesh,2013,1978,9574,301,151
Maharashtra,2013,346,2743,882,1330
Manipur,2013,0,0,0,0
Meghalaya,2013,1,30,0,0
Mizoram,2013,0,25,18,0
Nagaland,2013,0,0,0,0
Orissa,2013,622,613,277,384
Punjab,2013,325,606,112,168
Rajasthan,2013,1050,237,64,38
Sikkim,2013,0,0,0,0
Tamilnadu,2013,68,1664,757,478
Tripura,2013,15,13,4,2
Uttar Pradesh,2013,7876,8093,1353,212
Uttaranchal,2013,205,42,29,72
West Bengal,2013,2023,1889,123,460
A & N Islands,2013,167,45,11,0
Chandigarh,2013,0,265,85,0
D & N Haveli,2013,0,0,0,0
Daman & Diu,2013,0,0,0,0
Delhi,2013,1458,1187,908,174
Lakshadweep,2013,0,0,0,0
Pondicherry,2013,0,0,0,0
